Component,References,Value,Footprint,Description,Quantity Per PCB,Manufacturer,PartNumber,Remarks,Config
1,C11 C15,1nF,C_0603_1608,Unpolarized capacitor,2,any,,,
2,C6,2.2nF,C_0603_1608,Unpolarized capacitor,1,any,,"100V, C0G",
3,C8 C14 C16 C17 C25 C26 C34 C37 C45,10nF,C_0603_1608,Unpolarized capacitor,9,any,,"100V, X7R",
4,C7 C9 C10 C13 C20 C22 C24 C28 C29 C30 C31 C32 C48,100nF,C_0603_1608,Unpolarized capacitor,13,any,,,+can
5,C4,100nF,C_0805_2012,Unpolarized capacitor,1,any,,"100V, X7S",
6,C3 C18,1µF,C_0805_2012,Unpolarized capacitor,2,any,,"100V, X7S",
7,C40,1µF,C_0603_1608,Unpolarized capacitor,1,Yageo,CC0805KKX7R9BB105,"50V, X7R",
8,C21 C23,10µF,C_0805_2012,Unpolarized capacitor,2,Murata,GRM21BR61E106KA73L,"25V, X5R",
9,C42 C44,0.22µF,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,Unpolarized capacitor,2,EPCOS / TDK,B32529C224J,Alternative: Kemet MMK5224K63J01L16.5TA18,
10,C12 C33 C39 C49,2.2µF,C_0603_1608,Unpolarized capacitor,4,any,,"25V, X5R",
11,C19,4.7µF,C_1210_3225,Unpolarized capacitor,1,Murata,GRJ32DC72A475KE11L,"100V, X7S",
12,C41,4.7µF,C_0603_1608,Unpolarized capacitor,1,Wurth Electronics,885012107018,"25V, X5R",
13,C1 C2,560µF,CP_Radial_D18.0mm_P7.50mm,Polarized capacitor,2,United Chemi-Con,EKZN101ELL561MM25S,"100V, 2.75A, 18x25",
14,C5 C27,680µF,CP_Radial_D10.0mm_P5.00mm,Polarized capacitor,2,Panasonic,EEU-FR1V681,"35V, 2.18A, 10x20",
15,D3 D5,12V,D_SOT-23_ANK,Diode zener,2,ON Semiconductor,SZBZX84C12LT3G,Alternative: Diodes Inc. BZX84C12-7-F,
16,D10 D16,1N4148,D_SOD-123,Diode,2,Diodes Inc.,1N4148W-7-F,,
17,D9,47V,D_SOT-23_ANK,Diode zener,1,ON Semiconductor,SZBZX84C47LT1G,Alternative: Diodes Inc. BZX84C47-7-F,+hv_supply
18,D4,BAS70-04,SOT-23,40V 0.2A Dual Small Signal Schottky Diodes,1,ON Semiconductor,BAS70-04LT1G,,
19,D2 D6,NRVTS260ESFT1G,D_SOD-123,Schottky diode,2,On Semiconductor,NRVTS260ESFT1G,"Alternative: Nexperia PMEG6020ER,115",+can
20,D7 D14 D15,SS14FL,D_SOD-123,Diode Schottky,3,ON Semiconductor,SS14FL,Alternative: Nexperia PMEG4010EGWX,
21,D1,SS16FP,D_PowerDI-123,Diode Schottky,1,Diodes Inc.,SS16FP,Alternative: DFLS160-7,
22,F1,25A,NULL,Fuse (plug-in),1,Littelfuse,0287025.PXCN,,
